================ Training Loss (Tue Dec  2 17:51:04 2025) ================
[Rank 0] (epoch: 1, iters: 400, time: 0.501, data: 0.000) , D_A: 0.261, G_A: 0.448, cycle_A: 6.034, idt_A: 0.000, D_B: 0.167, G_B: 0.436, cycle_B: 2.756, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 410, time: 0.464, data: 0.000) , D_A: 0.447, G_A: 0.359, cycle_A: 2.375, idt_A: 0.000, D_B: 0.313, G_B: 0.186, cycle_B: 3.368, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 420, time: 0.438, data: 0.000) , D_A: 0.113, G_A: 0.436, cycle_A: 5.847, idt_A: 0.000, D_B: 0.142, G_B: 0.560, cycle_B: 2.807, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 430, time: 0.441, data: 0.000) , D_A: 0.191, G_A: 0.365, cycle_A: 1.931, idt_A: 0.000, D_B: 0.193, G_B: 0.352, cycle_B: 4.220, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 440, time: 0.451, data: 0.000) , D_A: 0.266, G_A: 0.305, cycle_A: 2.476, idt_A: 0.000, D_B: 0.184, G_B: 0.298, cycle_B: 2.427, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 450, time: 0.460, data: 0.000) , D_A: 0.230, G_A: 0.382, cycle_A: 4.055, idt_A: 0.000, D_B: 0.169, G_B: 0.245, cycle_B: 3.434, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 460, time: 0.441, data: 0.000) , D_A: 0.197, G_A: 0.264, cycle_A: 2.514, idt_A: 0.000, D_B: 0.139, G_B: 0.484, cycle_B: 2.362, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 470, time: 0.466, data: 0.000) , D_A: 0.191, G_A: 0.189, cycle_A: 2.257, idt_A: 0.000, D_B: 0.188, G_B: 0.320, cycle_B: 4.597, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 480, time: 0.508, data: 0.000) , D_A: 0.225, G_A: 0.423, cycle_A: 2.819, idt_A: 0.000, D_B: 0.232, G_B: 0.334, cycle_B: 2.682, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 490, time: 0.437, data: 0.000) , D_A: 0.212, G_A: 0.234, cycle_A: 2.147, idt_A: 0.000, D_B: 0.261, G_B: 0.464, cycle_B: 1.949, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 500, time: 0.445, data: 0.000) , D_A: 0.118, G_A: 0.201, cycle_A: 3.006, idt_A: 0.000, D_B: 0.238, G_B: 0.437, cycle_B: 2.139, idt_B: 0.000

